event_id,event_start_date,event_end_date,occurrence_year,occurrence_month,end_year,end_month,event_year,event_month,event_quarter,year_month,loss_amount_10k_cny,gross_loss_cny,recovery_amount_cny,net_loss_cny,log_gross_loss,loss_severity_bucket,is_high_loss,bank_involved_code_raw,num_banks_involved,primary_bank_code,province_occurred,city_occurred,causal_factor,event_type,business_line,event_duration_months,description
2349,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,39,1,39,Tianjin,,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Tianjin, Unknown city."
2350,2017-12-01,2019-03-01,2017.0,12.0,2019.0,3.0,2017.0,12.0,4.0,2017-12,30.0,300000.0,0.0,300000.0,12.611541086966115,Medium,0,9,1,9,,Qingdao,Process,"Execution, delivery & process management",Asset management,15.0,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Unknown province, Qingdao."
2351,2017-12-01,,2017.0,12.0,,,2017.0,12.0,4.0,2017-12,30.0,300000.0,0.0,300000.0,12.611541086966115,Medium,0,,0,,,,People,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by People in Asset management located in Unknown province, Unknown city."
2352,2019-01-01,,2019.0,1.0,,,2019.0,1.0,1.0,2019-01,5.0,50000.0,0.0,50000.0,10.819798284210286,Low,0,,0,,,,Process,"Clients, products & business practices",Retail banking,,"Operational risk event: Clients, products & business practices caused by Process in Retail banking located in Unknown province, Unknown city."
2353,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,30.0,300000.0,0.0,300000.0,12.611541086966115,Medium,0,,0,,,,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Unknown province, Unknown city."
2354,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,120.0,1200000.0,0.0,1200000.0,13.997832948091215,High,0,4,1,4,,Guigang,People,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by People in Asset management located in Unknown province, Guigang."
2355,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,47.045,470450.0,0.0,470450.0,13.061447088057054,Medium,0,"5,6",2,5,,Qinzhou,Process,"Clients, products & business practices",Payment and settlement,,"Operational risk event: Clients, products & business practices caused by Process in Payment and settlement located in Unknown province, Qinzhou."
2356,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,4,1,4,Guizhou,Guiyang,People,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by People in Asset management located in Guizhou, Guiyang."
2357,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,2.0,20000.0,0.0,20000.0,9.90353755128617,Low,0,16,1,16,,Zhengzhou,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Unknown province, Zhengzhou."
2358,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,10.0,100000.0,0.0,100000.0,11.51293546492023,Medium,0,7,1,7,,Zhengzhou,Process,"Clients, products & business practices",Retail banking,,"Operational risk event: Clients, products & business practices caused by Process in Retail banking located in Unknown province, Zhengzhou."
2359,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,30.0,300000.0,0.0,300000.0,12.611541086966115,Medium,0,155,1,155,Beijing,Qingdao,Process,"Clients, products & business practices",Trading & sales,,"Operational risk event: Clients, products & business practices caused by Process in Trading & sales located in Beijing, Qingdao."
2360,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,90.0,900000.0,0.0,900000.0,13.710151153416941,Medium,0,16,1,16,Beijing,Qingdao,People,Internal fraud,Asset management,,"Operational risk event: Internal fraud caused by People in Asset management located in Beijing, Qingdao."
2361,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,10.0,100000.0,0.0,100000.0,11.51293546492023,Medium,0,24,1,24,"Beijing,Hebei",Shijiazhuang,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Beijing,Hebei, Shijiazhuang."
2362,2019-03-01,,2019.0,3.0,2019.0,,2019.0,3.0,1.0,2019-03,712.6,7126000.0,0.0,7126000.0,15.77926076547909,High,0,"6,9,14,16,19,40,45,47,78,90,155,156",12,6,"Inner mongolia,Jiangsu,Henan,Inner mongolia","Dalian,Jinzhou,Fuxin,Lianyungang,Qingdao,Lanzhou,Baiyin",People,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by People in Asset management located in Inner mongolia,Jiangsu,Henan,Inner mongolia, Dalian,Jinzhou,Fuxin,Lianyungang,Qingdao,Lanzhou,Baiyin."
2363,2019-03-01,2019-04-01,2019.0,3.0,2019.0,4.0,2019.0,3.0,1.0,2019-03,200.0,2000000.0,0.0,2000000.0,14.508658238524095,High,0,40,1,40,"Beijing,Liaoning,Hongkong","Dalian,Jinzhou",People,Internal fraud,Asset management,1.0,"Operational risk event: Internal fraud caused by People in Asset management located in Beijing,Liaoning,Hongkong, Dalian,Jinzhou."
